OBJECTID,Numer,Pętla_początkowa,Pętla_końcowa,Typ linii,Podtyp linii,relacja,Shape__Length,validFrom,validUntil
427,100,Plac Na Stawach,Kopiec Kościuszki,autobusowa,,2,2910.32769498231,,
428,100,Kopiec Kościuszki,Plac Na Stawach,autobusowa,,1,3504.18896966756,,
429,101,Os. Podwawelskie,Kopiec Kościuszki,autobusowa,,2,4154.23713428203,,
430,101,Kopiec Kościuszki,Os. Podwawelskie,autobusowa,,1,4418.65362903585,,
431,102,Bielany,Krowodrza Górka P+R,autobusowa,,2,13980.4928732042,,
432,102,Krowodrza Górka P+R,Bielany,autobusowa,,1,14102.6189360631,,
433,103,Aleja Przyjaźni,Lesisko,autobusowa,,1,6460.20334529423,,
434,103,Lesisko,Aleja Przyjaźni,autobusowa,,2,6252.52355388959,,
435,405,Dworzec Główny Zachód,Prądnik Czerwony,autobusowa,,1,4858.08261607545,,
436,405,Prądnik Czerwony,Dworzec Główny Zachód,autobusowa,,2,4965.86889209252,,
437,106,Łagiewniki,Skotniki Szkoła,autobusowa,,1,7419.02134720227,,
438,106,Skotniki Szkoła,Łagiewniki,autobusowa,,2,7190.00912552923,,
439,107,Zajezdnia Wola Duchacka,Soboniowice,autobusowa,,1,7289.05719720843,,
440,107,Soboniowice,Zajezdnia Wola Duchacka,autobusowa,,2,7711.93070670984,,
441,109,Cracovia Stadion,Bielany,autobusowa,,1,8829.9940582931,,
442,109,Bielany,Cracovia Stadion,autobusowa,,2,8812.02708896172,,
443,110,Aleja Przyjaźni,Węgrzynowice,autobusowa,,1,13598.4717107602,,
444,110,Węgrzynowice,Aleja Przyjaźni,autobusowa,,2,13779.6640646985,,
445,111,Pleszów,Pleszów,autobusowa,,1,19835.035002834,,
446,112,Os. Podwawelskie,Tyniec Kamieniołom,autobusowa,,1,11921.4453598903,,
447,112,Tyniec Kamieniołom,Os. Podwawelskie,autobusowa,,2,12725.5986765392,,
448,113,Czyżyny Dworzec,Elektrociepłownia,autobusowa,,1,6889.55822092367,,9/15/2025 12:00:00 AM
449,113,Elektrociepłownia,Czyżyny Dworzec,autobusowa,,2,7112.80565296204,,9/15/2025 12:00:00 AM
450,120,Bronowice Małe,Nowy Kleparz,autobusowa,,1,12405.0762954249,,
451,120,Nowy Kleparz,Bronowice Małe,autobusowa,,2,13244.1163400824,,
452,122,Aleja Przyjaźni,Zesławice,autobusowa,,1,10110.9325030458,,
453,122,Zesławice,Aleja Przyjaźni,autobusowa,,2,10568.5863629586,,
454,123,Mały Płaszów P+R,Mistrzejowice,autobusowa,,1,16646.7345704409,,
455,123,Mistrzejowice,Mały Płaszów P+R,autobusowa,,2,16051.271256466,,
456,123,Mistrzejowice,Mały Płaszów P+R przez: Zajezdnia Płaszów ,autobusowa,,21,16649.7320308517,,
