route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"101",1522_PO,1522_8330,"Kopiec Kościuszki",,0,PO_101-01_2,901245,0,0
"101",1523_PO,1523_8746,"Kopiec Kościuszki",,0,PO_101-01_2,903079,0,0
"100",1522_PO,1522_8334,"Plac Na Stawach",,1,PO_101-01_3,901047,0,0
"100",1523_PO,1523_8748,"Plac Na Stawach",,1,PO_101-01_3,902997,0,0
"100",1522_PO,1522_8338,"Kopiec Kościuszki",,0,PO_101-01_4,901046,0,0
"100",1523_PO,1523_8752,"Kopiec Kościuszki",,0,PO_101-01_4,902996,0,0
"101",1522_PO,1522_8342,"Os. Podwawelskie",,1,PO_101-01_5,901246,0,0
"101",1523_PO,1523_8755,"Os. Podwawelskie",,1,PO_101-01_5,903078,0,0
"101",1522_PO,1522_8346,"Kopiec Kościuszki",,0,PO_101-01_6,901245,0,0
"101",1523_PO,1523_8759,"Kopiec Kościuszki",,0,PO_101-01_6,903079,0,0
"100",1522_PO,1522_8350,"Plac Na Stawach",,1,PO_101-01_7,901047,0,0
"100",1523_PO,1523_8763,"Plac Na Stawach",,1,PO_101-01_7,902997,0,0
"100",1522_PO,1522_8354,"Kopiec Kościuszki",,0,PO_101-01_8,901046,0,0
"100",1523_PO,1523_8769,"Kopiec Kościuszki",,0,PO_101-01_8,902996,0,0
"101",1522_PO,1522_8358,"Os. Podwawelskie",,1,PO_101-01_9,901246,0,0
"101",1523_PO,1523_8772,"Os. Podwawelskie",,1,PO_101-01_9,903078,0,0
"101",1522_PO,1522_8362,"Kopiec Kościuszki",,0,PO_101-01_10,901245,0,0
"101",1523_PO,1523_8778,"Kopiec Kościuszki",,0,PO_101-01_10,903079,0,0
"100",1522_PO,1522_8366,"Plac Na Stawach",,1,PO_101-01_11,901047,0,0
"100",1523_PO,1523_8781,"Plac Na Stawach",,1,PO_101-01_11,902997,0,0
"100",1522_PO,1522_8370,"Kopiec Kościuszki",,0,PO_101-01_12,901046,0,0
"100",1523_PO,1523_8785,"Kopiec Kościuszki",,0,PO_101-01_12,902996,0,0
"101",1522_PO,1522_8374,"Os. Podwawelskie",,1,PO_101-01_13,901246,0,0
"101",1523_PO,1523_8790,"Os. Podwawelskie",,1,PO_101-01_13,903078,0,0
"101",1522_PO,1522_8378,"Kopiec Kościuszki",,0,PO_101-01_14,901245,0,0
"101",1523_PO,1523_8794,"Kopiec Kościuszki",,0,PO_101-01_14,903079,0,0
"100",1522_PO,1522_8382,"Plac Na Stawach",,1,PO_101-01_15,901047,0,0
"100",1523_PO,1523_8797,"Plac Na Stawach",,1,PO_101-01_15,902997,0,0
"100",1522_PO,1522_8386,"Kopiec Kościuszki",,0,PO_101-01_16,901046,0,0
"100",1523_PO,1523_8800,"Kopiec Kościuszki",,0,PO_101-01_16,902996,0,0
"101",1522_PO,1522_8390,"Os. Podwawelskie",,1,PO_101-01_17,901246,0,0
"101",1523_PO,1523_8805,"Os. Podwawelskie",,1,PO_101-01_17,903078,0,0
"101",1522_PO,1522_8394,"Kopiec Kościuszki",,0,PO_101-01_18,901245,0,0
"101",1523_PO,1523_8809,"Kopiec Kościuszki",,0,PO_101-01_18,903079,0,0
"100",1522_PO,1522_8398,"Plac Na Stawach",,1,PO_101-01_19,901047,0,0
"100",1523_PO,1523_8814,"Plac Na Stawach",,1,PO_101-01_19,902997,0,0
"100",1522_PO,1522_8402,"Kopiec Kościuszki",,0,PO_101-01_20,901046,0,0
"100",1523_PO,1523_8818,"Kopiec Kościuszki",,0,PO_101-01_20,902996,0,0
"101",1522_PO,1522_8406,"Os. Podwawelskie",,1,PO_101-01_21,901246,0,0
"101",1523_PO,1523_8822,"Os. Podwawelskie",,1,PO_101-01_21,903078,0,0
"101",1522_PO,1522_8410,"Kopiec Kościuszki",,0,PO_101-01_22,901245,0,0
"101",1523_PO,1523_8825,"Kopiec Kościuszki",,0,PO_101-01_22,903079,0,0
"100",1522_PO,1522_8414,"Plac Na Stawach",,1,PO_101-01_23,901047,0,0
"100",1523_PO,1523_8828,"Plac Na Stawach",,1,PO_101-01_23,902997,0,0
"100",1522_PO,1522_8418,"Kopiec Kościuszki",,0,PO_101-01_24,901046,0,0
"100",1523_PO,1523_8832,"Kopiec Kościuszki",,0,PO_101-01_24,902996,0,0
"101",1522_PO,1522_8423,"Os. Podwawelskie",,1,PO_101-01_25,901246,0,0
"101",1523_PO,1523_8836,"Os. Podwawelskie",,1,PO_101-01_25,903078,0,0
"101",1522_PO,1522_8427,"Kopiec Kościuszki",,0,PO_101-01_26,901245,0,0
