OBJECTID,Kod BusMan,Nazwa przystanku z numerem,Typ przystanku,Rodzaj przystanku,Przystanek podwójny,Na żądanie,Geometria przystanku,Nawierzchnia miejsca zatrzymania,Nawierzchnia peronu,Pasy medialne,Krawężnik peronu,Słupek DIP,Słupek liniowy,Słupek inni przewoźnicy,Gablota rozkładowa,Dodatkowa gablota,Gablota na mapy,Ławki przystankowe poza wiatą,Barierosiedziska,Kosze przystankowe,Kosze inne,Automat biletowy,Kiosk,Inne konstrukcje,GlobalID,Liczba wiat,EditDate,Editor,Skrzynka rozkładowa,Obowiązuje od,Obowiązuje do,Strefa Biletowa,Ławki inne poza wiatą,x,y
59,116-04,Gałczyńskiego 04,A,przelotowy,nie,nie,zatoka,beton,kostka,tak,kassel-kerb,brak,0,0,1,0,0,0,0,0,1,0,0,,1dc54c4a-8866-42a6-9a22-ca769854eb2c,1,12/17/2024 1:26:04 PM,lodzinskij,0,,,I,0,2227775.65114131,6458200.94092513
94,448-03,Kuźnicy Kołłątajowskiej 03,A,przelotowy,nie,nie,jezdnia,asfalt,kostka,nie,tak,brak,1,0,0,0,0,1,0,1,0,0,0,,133bd8d1-b7a5-417a-85e2-8cc72194f630,0,7/28/2025 10:20:31 AM,lodzinskij,1,,,I,0,2221668.6247659,6463309.74895497
95,448-04,Kuźnicy Kołłątajowskiej 04,A,przelotowy,nie,nie,jezdnia,asfalt,płyty_chodnikowe,nie,tak,brak,1,0,0,0,0,1,0,1,0,0,0,,0cb13c7d-e55b-4236-bdd2-cad5b599c709,0,7/28/2025 10:20:31 AM,lodzinskij,1,,,I,0,2221803.97986991,6463342.94596936
141,412-02,Pielęgniarek 02,A,przelotowy,nie,nie,zatoka,kostka,kostka,nie,tak,brak,0,1,1,0,0,0,0,1,0,0,0,,a18366e0-de24-44cf-ac61-4f7041b5e297,1,7/31/2025 2:04:06 PM,lodzinskij,4,,,I,0,2219349.85338666,6460743.2780076
144,127-04,Morcinka 04,A,przelotowy,nie,tak,jezdnia,asfalt,asfalt,nie,nie,brak,0,0,1,0,0,0,0,1,0,0,0,,5c599a11-54d3-41e5-8139-e532dca2eb9f,1,7/14/2025 11:54:39 AM,lodzinskij,0,,,I,0,2234396.24603372,6464313.22918201
145,127-03,Morcinka 03,A,przelotowy,nie,tak,jezdnia,asfalt,asfalt,nie,nie,brak,1,0,0,0,0,0,0,1,0,0,0,,ea8a07ff-be8c-4a15-8516-17048e646904,0,7/14/2025 11:54:39 AM,lodzinskij,1,,,I,0,2234317.23183867,6464326.97798639
146,127-02,Morcinka 02,A,przelotowy,nie,tak,jezdnia,asfalt,nieutwardzne_inne,nie,tak,brak,1,0,0,0,0,0,0,1,0,0,0,,6471b0fe-98b6-44f9-b16d-e0928906f4e0,0,7/14/2025 11:54:39 AM,lodzinskij,1,,,I,0,2234515.33951958,6464381.95408096
147,127-01,Morcinka 01,A,przelotowy,nie,tak,jezdnia,asfalt,płyty_chodnikowe,nie,tak,brak,1,0,1,0,0,0,0,1,0,0,0,,2c5a3ceb-d7a5-4ab0-96d5-ba525a3cc795,1,7/14/2025 11:54:39 AM,lodzinskij,0,,,I,0,2234409.15593633,6464253.77507188
162,424-04,Siewna Wiadukt 04,A,przelotowy,nie,nie,zatoka_otwarta,beton,kostka,tak,kassel-kerb,brak,0,0,1,0,0,0,0,0,1,0,0,,841af103-25e9-41ba-9c45-d375f31c4d53,1,12/17/2024 1:26:04 PM,lodzinskij,0,,,I,0,2220514.74326966,6463000.30893779
163,424-05,Siewna Wiadukt 05,A,przelotowy,tak,nie,zatoka_otwarta,beton,kostka,tak,kassel-kerb,brak,0,0,1,0,0,0,0,0,1,0,0,,a6651d8a-8914-4691-ba9d-205bef8ef36c,1,12/30/2024 11:15:13 AM,lodzinskij,0,,,I,0,2220559.93402247,6462924.2848731
