OBJECTID,Numer,Pętla_początkowa,Pętla_końcowa,Typ linii,Podtyp linii,relacja,Shape__Length,validFrom,validUntil
232,317,Dworzec Główny Wschód,Zielonki Os. Marszowiec Pętla,autobusowa,,1,7619.26719931529,,
233,317,Zielonki Os. Marszowiec Pętla,Dworzec Główny Wschód,autobusowa,,2,7836.6520222303,,
234,301,Nowy Kleparz,Niepołomice Dworzec,autobusowa,,1,29274.1745502527,,
235,301,Niepołomice Dworzec,Nowy Kleparz,autobusowa,,2,29039.9397771616,,
236,304,Dworzec Główny Zachód,Wieliczka Miasto,autobusowa,,1,18633.9383634159,,
237,304,Wieliczka Miasto,Dworzec Główny Zachód,autobusowa,,2,18712.3416056512,,
238,307,Os. Podwawelskie,Michałowice P+R,autobusowa,,1,17121.3711835657,,
239,307,Michałowice P+R,Os. Podwawelskie,autobusowa,,2,17267.0056337527,,
240,310,Os. Podwawelskie,Będkowice Pętla,autobusowa,,1,27909.60835148,,
241,310,Będkowice Pętla,Os. Podwawelskie,autobusowa,,2,27940.7505187868,,
242,310,Os. Podwawelskie,Biały Kościół Murownia Pętla,autobusowa,,11,19891.9684176259,,
243,310,Biały Kościół Murownia Pętla,Os. Podwawelskie,autobusowa,,21,20100.3506008478,,
244,337,Nowy Kleparz,Owczary Pętla,autobusowa,,1,14480.9564110482,,
245,337,Owczary Pętla,Nowy Kleparz,autobusowa,,2,14421.0623477724,,
246,202,Czyżyny Dworzec,Łososkowice Remiza,autobusowa,,1,19681.519241377,,
247,202,Łososkowice Remiza,Czyżyny Dworzec,autobusowa,,2,19690.625272302,,
248,202,Czyżyny Dworzec,Łososkowice Remiza przez Wilków Pętla,autobusowa,,11,38901.9511748498,,
249,203,Czerwone Maki P+R,Skawina,autobusowa,,1,19296.9628269794,,
250,203,Skawina,Czerwone Maki P+R,autobusowa,,2,19534.4149374778,,
251,204,Czerwone Maki P+R,Wieliczka Miasto,autobusowa,,1,20358.169991704,,
252,204,Wieliczka Miasto,Czerwone Maki P+R,autobusowa,,2,20374.2881384591,,
253,207,Krowodrza Górka P+R,Trojanowice Pętla,autobusowa,,1,9922.73441605503,,
254,207,Trojanowice Pętla,Krowodrza Górka P+R,autobusowa,,2,9788.11946453327,,
255,209,Salwator,Mników Skały,autobusowa,,1,24454.752750738,,
256,209,Mników Skały,Salwator,autobusowa,,2,25186.122953878,,
257,209,Salwator,Morawica Centrum,autobusowa,,11,19608.9542506974,,
258,209,Morawica Centrum,Salwator,autobusowa,,21,20373.7318193333,,
259,211,Kombinat,Chobot Leśniczówka,autobusowa,,1,23632.676067871,,
260,211,Chobot Leśniczówka,Kombinat,autobusowa,,2,23690.7165940097,,
261,212,Czyżyny Dworzec,Czulice Kościół,autobusowa,,1,17719.7131155876,,
262,212,Czulice Kościół,Czyżyny Dworzec,autobusowa,,2,17793.7094994666,,
263,213,Czerwone Maki P+R,Krzęcin Pętla,autobusowa,,1,18481.2692496309,,
264,213,Krzęcin Pętla,Czerwone Maki P+R,autobusowa,,2,18856.254813556,,
265,213,Skawina,Krzęcin Pętla,autobusowa,,11,12824.8248591693,,
266,213,Krzęcin Pętla,Skawina,autobusowa,,21,12466.8866603385,,
267,214,Borek Fałęcki,Podstolice Centrum,autobusowa,,1,11444.8213420419,,
